                
                            **1978 TOP GOAL SCORER**
                          
                PLAYER                        TEAM           GOALS
                __________________________________________________
                Mario Kempes                  Argentina	     6

                Robert Rensenbrink            Netherlands    5

                Teofilo Cubillas              Peru           5

                Leopoldo Luque	              Argentina      4

                Hans Krankl                   Austria        4

                Paolo Rossi                   Italy          3

                José Dirceu                   Brazil         3

                Karl-Heinz Rummenigge         Germany FR     3

                Enilio Roberto                Brazil         3

                Johny Rep                     Netherlands    3
