
                                      **1982 INDISCIPLINED PLAYER**                 
 
                         RANK             PLAYER                   TEAM

                         1                Vladimir Bessonov        Soviet Union

                         2                Klaus Fischer            Germany FR

                         3                Diego Maradona           Argentina

                         4                Américo Gallego          Argentina

                         5                Ladislav Vizek           Czechoslovakia

                         6                Malachy Donaghy          Northern Ireland

                         7                Gilberto Yearwood        Honduras

                         8                Francisco Osorto         El Salvador

                         9                Wlodzimierz Smolarek     Poland

                        10                Andrzej Buncol           Poland
