                     
                                     **1982 TOP GOAL SCORER**

                             PLAYER                   TEAM                GOALS

                             Paolo Rossi              Italy                6

                             Karl-Heinz Rummenigge    Germany FR           5

                             Zico                     Brazil               4

                             Zbigniew Boniek          Poland               4

                             Laszlo Kiss              Hungary              3

                             Falcão                   Brazil               3

                             Alain Giresse            France               3

                             Gerald Armstrong         Northern Ireland     3

                             Michel Platini           France               2

                             Ricardo Bertoni          Argentina            2
