     

                            **1986 INDISCIPLINED PLAYER**

                RANK             PLAYER                 TEAM 

                1                Miguel Bossio          Uruguay

                2                Frank Arnesen          Denmark

                3                Javier Aguirre         Mexico

                4                Michael Sweeney        Canada

                5                Hugo Sánchez           Mexico

                6                Thomas Berthold        Germany FR

                7                Terry Fenwick          England

                8                Basil Hanna            Iraq

                9                Nery Pumpido           Argentina

                10               William Ayache         France

    
