   

                                   **1986 TOP GOAL SCORER**


                 PLAYER                 TEAM                 GOALS

                 Gary Lineker           England              6

                 Diego Maradona         Argentina            5

                 Emilio Butragueño      Spain                5

                 Antonio Careca         Brazil               5

                 Jorge Valdano          Argentina            4

                 Preben Elkjaer-Larsen  Denmark              4

                 Igor Belanov           Soviet Union         4

                 Alessandro Altobelli   Italy                3

                 Nico Claesen           Belgium              3

                 Jesper Olsen           Denmark              3
                
