 
                             **1990 TOP SCORER**

                PLAYER                  TEAM              GOALS

                Salvatore Schillaci     Italy             6

                Tomas Skhuravy          Czechoslovakia    5

                Gary Lineker            England           4

                Michel                  Spain             4

                Lothar Matthäus         Germany FR        4

                Andreas Brehme          Germany FR        3

                Rudi Völler             Germany FR        3

                Jürgen Klinsmann        Germany FR        3

                David Platt             England           3

                Roberto Baggio          Italy             2 
               
