

                                **1990 INDISCIPLNED PLAYER**

                RANK             PLAYER                      TEAM 

                1                Franklin Edmundo Rijkaard   Netherlands

                2                Lubomir Moravcik            Czechoslovakia

                3                Andre Kana Bijick           Cameroon

                4                Benjamín Massing            Cameroon

                5                Rudi Völler                 Germany FR

                6                Pedro Monzón                Argentina

                7                Refik Sabanadzovic          Yugoslavia

                8                Ricardo Giusti              Argentina

                9                Vladimir Bessonov           Soviet Union

               10                Raymundo Ricardo Gomez      Brazil
