                                 
                            **1994 TOP GOAL SCORER**

                PLAYER                TEAM           GOALS

                Hristo Stoitchkov     Bulgaria       6

                Oleg Salenko          Russia         6

                Roberto Baggio        Italy          5

                Romário               Brazil         5

                Jürgen Klinsmann      Germany        5

                Kennet Andersson      Sweden         5

                Florin Raducioiu      Romania        4

                Gabriel Batistuta     Argentina      4

                Martin Dahlin         Sweden         4

                Thomas Brolin         Sweden         3
                
