 
                            **1994 INDISCIPLINED PLAYER**

                RANK             PLAYER                  TEAM 

                1                Azlatko Iankov          Bulgaria

                2                Jan Wouters             Netherlands

                3                Trifon Ivanov           Bulgaria

                4                Iomar Mazinho           Brazil

                5                Thomas Helmer           Germany

                6                Fernando Clavijo        United States

                7                Stefan Schwarz          Sweden

                8                Oscar Ruggeri           Argentina

                9                Luis García             Mexico

                10               José Camarasa           Spain
