

                       **1998 TOP GOAL SCORER**
                  
           
               PLAYER                 TEAM          GOALS

               Davor Suker            Croatia       6

               Christian Vieri        Italy         5

               Gabriel Batistuta      Argentina     5

               Marcelo Salas          Chile         4

               Luis Hernández         Mexico        4

               Ronaldo                Brazil        4

               Carlos Cesar Sampaio   Brazil        3

               Rivaldo                Brazil        3

               Brian Laudrup          Denmark       3

               Oliver Bierhoff        Germany       3
               
