                                       

                           **1998 INDISCIPLINED PLAYER**

                RANK          PLAYER                    TEAM

                1             Jesús Ramírez             Mexico

                2             Rigobert Song Bahanag     Cameroon

                3             Ariel Ortega              Argentina

                4             Slaven Bilic              Croatia

                5             Jaap Stam                 Netherlands

                6             Arthur Numan              Netherlands

                7             Zinedine Zidane           France

                8             Bixente Lizarazu          France

                9             Roberto Carlos            Brazil

               10            David Nyathi               South Africa
             
            
