
                       **2002 TOP GOAL SCORER**

                PLAYER                TEAM          GOALS

                Ronaldo               Brazil        8

                Miroslav Klose        Germany       5

                Rivaldo               Brazil        5

                Jon Dahl Tomasson     Denmark       4

                Christian Vieri       Italy         4

                Marc Wilmots          Belgium       3

                Michael Ballack       Germany       3

                Pedro Pauleta         Portugal      3

                Raúl González         Spain         3

                Papa Bouba Diop       Senegal       3
                
