

                          **2002 INDISCIPLINED PLAYER**

  
               RANK             PLAYER                    TEAM

               1                Francesco Totti           Italy

               2                Beto                      Portugal

               3                Alpay Ozalan              Turkey

               4                Salif Alassane Diao       Senegal

               5                Carsten Ramelow           Germany

               6                Roberto Acuña             Paraguay

               7                Ronaldinho                Brazil

               8                Patrick Suffo             Cameroon

               9                Carlos Paredes            Paraguay

               10               Hakan Unsal               Turkey
                
