
                            **2002 TOP ASSISTER**

                     PLAYER                TEAM            ASSISTS

                     Michael Ballack       Germany         6

                     David Beckham         England         3

                     Francisco De Pedro    Spain           3

                     Christian Ziege       Germany         3

                     Ronaldinho            Brazil          3

                     Miroslav Klose        Germany         2

                     Henri Camara          Senegal         2

                     Junior                Brazil          2

                     Lee Young-Pyo         South Korea     2

                     Daisuke Ichikawa      Japan           2
