
 
                             **2006 TOP GOAL SCORER**


                PLAYER                TEAM           GOALS

                Miroslav Klose        Germany        5

                David Villa           Spain          3

                Zinedine Zidane       France         3

                Hernán Crespo         Argentina      3

                Thierry Henry         France         3

                Maxi Rodríguez        Argentina      3

                Ronaldo               Brazil         3

                Fernando Torres       Spain          3

                Lukas Podolski        Germany        3

                Luca Toni             Italy          2
                
