                           

                    **2006 INDISCIPLINED PLAYER**
          
                RANK             PLAYER                         TEAM

                1                Zinedine Zidane                France

                2                Costinha                       Portugal

                3                Asamoah Gyan                   Ghana

                4                Zied Jaziri                    Tunisia

                5                Brett Emerton                  Australia

                6                Khalid Boulahrouz              Netherlands

                7                Teddy Lucic                    Sweden

                8                Giovanni Van Bronckhorst       Netherlands

                9                Deco                           Portugal

                10               Andre Venceslau                Angola
                
