
                             **2006 INDISCIPLINED PLAYER**

      
            
               PLAYER                               TEAM          ASSISTS

               Francesco Totti                      Italy         4

               Andrea Pirlo                         Italy         3

               Luis Figo                            Portugal      3

               Bastian Schweinsteiger               Germany       3

               Edison Vicente Mendez Mendez         Ecuador       2

               Maxim Kalinichenko                   Ukraine       2

               David Beckham                        England       2

               John Aloisi                          Australia     2

               Patrick Vieira                       France        2

               Juan Román Riquelme                  Argentina     2
