

                     **2010 TOP GOAL SCORER**
            
               PLAYER                 TEAM            GOALS

               David Villa            Spain           5

               Diego Forlán           Uruguay         5

               Thomas Müller          Germany         5

               Wesley Sneijder        Netherlands     5

               Gonzalo Higuaín        Argentina       4

               Miroslav Klose         Germany	      4

               Róbert Vittek          Slovakia        4

               Landon Donovan         United States   3

               Asamoah Gyan           Ghana           3

               Luís Fabiano           Brazil          3
                


