  
                               **2010 TOP ASSISTER**

                PLAYER                       TEAM            ASSIST

                Bastian Schweinsteiger       Germany         4

                Kaká                         Brazil          3

                Dirk Kuyt                    Netherlands     3

                Lionel Messi                 Argentina       3

                Thomas Müller                Germany	     3

                Mesut Özil	             Germany         3

                Arthur Boka	             Ivory Coast     2

                Walter Gargano	             Uruguay         2

                Sung-yueng Ki	             South Korea     2

                Lukas Podolski	             Germany	     2
           
