   

                        **2014 TOP GOAL SCORER**              

                     PLAYER                TEAM           GOALS

                     James Rodríguez       Colombia       6

                     Thomas Müller         Germany        5

                     Lionel Messi          Argentina      4

                     Neymar                Brazil         4

                     André Schürrle        Germany        3

                     Arjen Robben          Netherlands    3

                     Enner Valencia        Ecuador        3

                     Xherdan Shaqiri       Switzerland    3

                     Karim Benzema         France         3

                     Robin van Persie      Netherlands    3
