

                            **2014 INDISCIPLINED PLAYER**

                RANK             PLAYER                 TEAM

                1                Óscar Duarte           Costa Rica

                2                Antonio Valencia       Ecuador

                3                Kostas Katsouranis     Greece

                4                Alex Song              Cameroon

                5                Steven Defour          Belgium

                6                Pepe                   Portugal

                7                Ante Rebic             Croatia

                8                Claudio Marchisio      Italy

                9                Wilson Palacios        Honduras

                10               Maxi Pereira           Uruguay
               
