

                          **2014 TOP ASSISTER**
 
                PLAYER                TEAM            ASSISTS

                Juan Cuadrado         Colombia        4

                Toni Kroos            Germany         3

                Daley Blind           Netherlands     3

                Thomas Müller         Germany         3

                Oscar                 Brazil          2

                Graham Zusi           United States   2

                Emmanuel Emenike      Nigeria         2

                Sofiane Feghouli      Algeria         2

                josip Drmic           Switzerland     2

                Abel Aguilar          Colombia        2
              
          
      
   
